,text,event_type,clean_text
498,Foul by FrA©dA©ric Bulot (Caen).,3,foul fradaric bulot caen
499,"Corner,  Valenciennes. Conceded by Alexandre Raineau.",2,corner valenciennes concede alexandre raineau
500,Attempt missed. Benjamin Angoua (Valenciennes) header from very close range is too high. Assisted by Mathieu Dossevi with a cross following a corner.,1,attempt miss benjamin angoua valenciennes header close range high assist mathieu dossevi cross follow corner
501,"Corner,  Valenciennes. Conceded by Jerry Van Dam.",2,corner valenciennes concede jerry van dam
502,Alexandre Raineau (Caen) wins a free kick in the defensive half.,8,alexandre raineau caen win free kick defensive half
503,Foul by Renaud Cohade (Valenciennes).,3,foul renaud cohade valenciennes
504,"Attempt missed. Pierre-Alain Frau (Caen) left footed shot from outside the box is close, but misses the top left corner. Assisted by Gregory Leca.",1,attempt miss pierre alain frau caen leave foot shot outside box close miss top leave corner assist gregory leca
505,Foul by Alexandre Raineau (Caen).,3,foul alexandre raineau caen
506,RA©mi Gomis (Valenciennes) wins a free kick on the right wing.,8,ramus gomis valenciennes win free kick right wing
507,"Corner,  Valenciennes. Conceded by Jerry Van Dam.",2,corner valenciennes concede jerry van dam
508,"Offside, Caen. Romain Hamouma tries a through ball, but FrA©dA©ric Bulot is caught offside.",9,offside caen romain hamouma try ball fradaric bulot catch offside
509,Foul by Alexandre Raineau (Caen).,3,foul alexandre raineau caen
510,RA©mi Gomis (Valenciennes) wins a free kick in the defensive half.,8,ramus gomis valenciennes win free kick defensive half
511,"Corner,  Valenciennes. Conceded by Alexandre Raineau.",2,corner valenciennes concede alexandre raineau
512,"Attempt missed. Mathieu Dossevi (Valenciennes) header from a difficult angle on the left is close, but misses the top left corner. Assisted by GaA«l Danic with a cross.",1,attempt miss mathieu dossevi valenciennes header difficult angle leave close miss top leave corner assist gaal danic cross
513,"Corner,  Caen. Conceded by Benjamin Angoua.",2,corner caen concede benjamin angoua
514,Attempt saved. GaA«l Danic (Valenciennes) left footed shot from outside the box is saved in the bottom right corner. Assisted by Mathieu Dossevi.,1,attempt save gaal danic valenciennes leave foot shot outside box save bottom right corner assist mathieu dossevi
515,Attempt blocked. Gregory Proment (Caen) left footed shot from outside the box is blocked. Assisted by Benjamin Nivet.,1,attempt block gregory proment caen leave foot shot outside box block assisted benjamin nivet
516,"Attempt missed. Pierre-Alain Frau (Caen) header from the centre of the box is close, but misses to the left. Assisted by FrA©dA©ric Bulot with a cross.",1,attempt miss pierre alain frau caen header centre box close miss leave assisted fradaric bulot cross
517,"Goal!  Caen 1, Valenciennes 0. Gregory Proment (Caen) right footed shot from outside the box to the top right corner. Assisted by Nicolas Seube.",1,goal caen valenciennes gregory proment caen right foot shot outside box top right corner assist nicolas seube
518,"Offside, Valenciennes. GaA«l Danic tries a through ball, but GrA©gory Pujol is caught offside.",9,offside valenciennes gaal danic try ball gragory pujol catch offside
519,Attempt saved. GaA«l Danic (Valenciennes) header from the centre of the box is saved in the top left corner. Assisted by David Ducourtioux with a cross.,1,attempt save gaal danic valenciennes header centre box save top left corner assist david ducourtioux cross
520,"Corner,  Valenciennes. Conceded by Jerry Van Dam.",2,corner valenciennes concede jerry van dam
521,"Attempt missed. Pierre-Alain Frau (Caen) right footed shot from outside the box is close, but misses to the left. Assisted by Romain Hamouma.",1,attempt miss pierre alain frau caen right foot shot outside box close miss leave assisted romain hamouma
522,Pierre-Alain Frau (Caen) wins a free kick in the defensive half.,8,pierre alain frau caen win free kick defensive half
523,Foul by Isimat Mirin (Valenciennes).,3,foul isimat mirin valenciennes
524,Alexandre Raineau (Caen) wins a free kick on the left wing.,8,alexandre raineau caen win free kick leave wing
525,Foul by RA©mi Gomis (Valenciennes).,3,foul ramus gomis valenciennes
526,Hand ball by FrA©dA©ric Bulot (Caen).,10,hand ball fradaric bulot caen
527,Attempt saved. GaA«tan Bong (Valenciennes) left footed shot from outside the box is saved in the centre of the goal.,1,attempt save gaatan bong valenciennes leave foot shot outside box save centre goal
528,Attempt saved. GrA©gory Pujol (Valenciennes) right footed shot from the right side of the six yard box is saved in the bottom right corner.,1,attempt save gragory pujol valenciennes right foot shot right side six yard box save bottom right corner
529,Foul by Thomas Heurtaux (Caen).,3,foul thomas heurtaux caen
530,Mathieu Dossevi (Valenciennes) wins a free kick in the attacking half.,8,mathieu dossevi valenciennes win free kick attack half
531,Attempt missed. Mathieu Dossevi (Valenciennes) right footed shot from the centre of the box is too high following a set piece situation.,1,attempt miss mathieu dossevi valenciennes right foot shot centre box high follow set piece situation
532,Attempt blocked. GrA©gory Pujol (Valenciennes) right footed shot from outside the box is blocked. Assisted by RA©mi Gomis.,1,attempt block gragory pujol valenciennes right foot shot outside box block assist ramus gomis
533,"Offside, Caen. Alexis ThA©baux tries a through ball, but Pierre-Alain Frau is caught offside.",9,offside caen alexis thabaux try ball pierre alain frau catch offside
534,Attempt saved. Romain Hamouma (Caen) left footed shot from outside the box is saved in the top centre of the goal.,1,attempt save romain hamouma caen leave foot shot outside box save top centre goal
535,Attempt saved. FrA©dA©ric Bulot (Caen) header from the centre of the box is saved in the centre of the goal. Assisted by Pierre-Alain Frau with a cross.,1,attempt save fradaric bulot caen header centre box save centre goal assist pierre alain frau cross
536,"Corner,  Valenciennes. Conceded by Jerry Van Dam.",2,corner valenciennes concede jerry van dam
537,"Corner,  Valenciennes. Conceded by Gregory Leca.",2,corner valenciennes concede gregory leca
538,"Corner,  Caen. Conceded by Isimat Mirin.",2,corner caen concede isimat mirin
539,"Corner,  Valenciennes. Conceded by Gregory Proment.",2,corner valenciennes concede gregory proment
540,Jerry Van Dam (Caen) wins a free kick in the defensive half.,8,jerry van dam caen win free kick defensive half
541,Foul by Benjamin Angoua (Valenciennes).,3,foul benjamin angoua valenciennes
542,Attempt saved. GaA«l Danic (Valenciennes) left footed shot from the left side of the box is saved in the bottom right corner. Assisted by Mathieu Dossevi.,1,attempt save gaal danic valenciennes leave footed shot leave side box save bottom right corner assist mathieu dossevi
543,"Substitution, Valenciennes. Foued Kadir replaces Mathieu Dossevi.",7,substitution valenciennes foued kadir replaces mathieu dossevi
544,Hand ball by Nicolas Seube (Caen).,10,hand ball nicolas seube caen
545,"Substitution, Caen. Damien Marcq replaces Gregory Proment.",7,substitution caen damien marcq replaces gregory proment
546,Foul by FrA©dA©ric Bulot (Caen).,3,foul fradaric bulot caen
547,Carlos SA¡nchez (Valenciennes) wins a free kick in the defensive half.,8,carlos sanchez valenciennes win free kick defensive half
548,Pierre-Alain Frau (Caen) wins a free kick in the defensive half.,8,pierre alain frau caen win free kick defensive half
549,Foul by Isimat Mirin (Valenciennes).,3,foul isimat mirin valenciennes
550,Foul by Damien Marcq (Caen).,3,foul damien marcq caen
551,Benjamin Angoua (Valenciennes) wins a free kick in the attacking half.,8,benjamin angoua valenciennes win free kick attack half
552,Damien Marcq (Caen) is shown the yellow card for a bad foul.,4,damien marcq caen show yellow card bad foul
553,Nicolas Seube (Caen) wins a free kick in the defensive half.,8,nicolas seube caen win free kick defensive half
554,Foul by Carlos SA¡nchez (Valenciennes).,3,foul carlos sanchez valenciennes
555,"Substitution, Valenciennes. Mamadou Samassa replaces Renaud Cohade.",7,substitution valenciennes mamadou samassa replaces renaud cohade
556,"Substitution, Caen. JA©rA©my Sorbon replaces Jerry Van Dam.",7,substitution caen jaramy sorbon replaces jerry van dam
557,JA©rA©my Sorbon (Caen) wins a free kick on the right wing.,8,jaramy sorbon caen win free kick right wing
558,Nicolas Seube (Caen) wins a free kick on the right wing.,8,nicolas seube caen win free kick right wing
559,Foul by GaA«l Danic (Valenciennes).,3,foul gaal danic valenciennes
560,Foul by Gregory Leca (Caen).,3,foul gregory leca caen
561,Mamadou Samassa (Valenciennes) wins a free kick in the attacking half.,8,mamadou samassa valenciennes win free kick attack half
562,Attempt blocked. FrA©dA©ric Bulot (Caen) left footed shot from outside the box is blocked.,1,attempt block fradaric bulot caen leave foot shot outside box block
563,"Corner,  Caen. Conceded by David Ducourtioux.",2,corner caen concede david ducourtioux
564,"Corner,  Valenciennes. Conceded by Damien Marcq.",2,corner valenciennes concede damien marcq
565,Attempt blocked. Foued Kadir (Valenciennes) left footed shot from the right side of the box is blocked.,1,attempt block foued kadir valenciennes leave foot shot right side box block
566,"Corner,  Valenciennes. Conceded by Alexandre Raineau.",2,corner valenciennes concede alexandre raineau
567,Attempt saved. RA©mi Gomis (Valenciennes) header from the centre of the box is saved in the top centre of the goal. Assisted by Foued Kadir with a cross.,1,attempt save rami gomis valenciennes header centre box save top centre goal assist foued kadir cross
568,"Corner,  Valenciennes. Conceded by Gregory Leca.",2,corner valenciennes concede gregory leca
569,Attempt missed. Romain Hamouma (Caen) right footed shot from outside the box misses to the left. Assisted by Damien Marcq.,1,attempt miss romain hamouma caen right foot shot outside box miss leave assisted damien marcq
570,Foul by Pierre-Alain Frau (Caen).,3,foul pierre alain frau caen
571,GrA©gory Pujol (Valenciennes) wins a free kick in the defensive half.,8,gragory pujol valenciennes win free kick defensive half
572,Pierre-Alain Frau (Caen) is shown the yellow card for a bad foul.,4,pierre alain frau caen show yellow card bad foul
573,Maik Franz (Hertha Berlin) wins a free kick in the defensive half.,8,maik franz hertha berlin win free kick defensive half
574,Foul by Tunay Torun (Hertha Berlin).,3,foul tunay torun hertha berlin
575,Foul by Tomas Pekhart (FC Nurnberg).,3,foul tomas pekhart fc nurnberg
576,Timothy Chandler (FC Nurnberg) wins a free kick in the defensive half.,8,timothy chandler fc nurnberg win free kick defensive half
577,Pierre-Michel Lasogga (Hertha Berlin) wins a free kick in the defensive half.,8,pierre michel lasogga hertha berlin win free kick defensive half
578,Foul by Timmy Simons (FC Nurnberg).,3,foul timmy simon fc nurnberg
579,Foul by Andre Mijatovic (Hertha Berlin).,3,foul andre mijatovic hertha berlin
580,Tomas Pekhart (FC Nurnberg) wins a free kick on the right wing.,8,tomas pekhart fc nurnberg win free kick right wing
581,Hand ball by Tomas Pekhart (FC Nurnberg).,10,hand ball tomas pekhart fc nurnberg
582,"Corner,  FC Nurnberg. Conceded by Andre Mijatovic.",2,corner fc nurnberg concede andre mijatovic
583,Attempt missed. Timm Klose (FC Nurnberg) right footed shot from the centre of the box is too high following a corner.,1,attempt miss timm klose fc nurnberg right foot shot centre box high following corner
584,Levan Kobiashvili (Hertha Berlin) wins a free kick in the defensive half.,8,levan kobiashvili hertha berlin win free kick defensive half
585,Patrick Ebert (Hertha Berlin) wins a free kick on the right wing.,8,patrick ebert hertha berlin win free kick right wing
586,Foul by Markus Mendler (FC Nurnberg).,3,foul markus mendler fc nurnberg
587,Foul by Javier Pinola (FC Nurnberg).,3,foul javier pinola fc nurnberg
588,Attempt missed. Andreas Ottl (Hertha Berlin) right footed shot from outside the box misses to the right following a set piece situation.,1,attempt miss andreas ottl hertha berlin right foot shot outside box miss right follow set piece situation
589,Attempt missed. Markus Mendler (FC Nurnberg) left footed shot from outside the box misses to the right.,1,attempt miss markus mendler fc nurnberg leave foot shot outside box miss right
590,Andreas Ottl (Hertha Berlin) wins a free kick in the defensive half.,8,andreas ottl hertha berlin win free kick defensive half
591,Foul by Almog Cohen (FC Nurnberg).,3,foul almog cohen fc nurnberg
592,Foul by Andreas Ottl (Hertha Berlin).,3,foul andreas ottl hertha berlin
593,Peter Niemeyer (Hertha Berlin) wins a free kick in the defensive half.,8,peter niemeyer hertha berlin win free kick defensive half
594,Almog Cohen (FC Nurnberg) wins a free kick in the defensive half.,8,almog cohen fc nurnberg win free kick defensive half
595,Foul by Markus Feulner (FC Nurnberg).,3,foul markus feulner fc nurnberg
596,"Offside, Hertha Berlin. Andreas Ottl tries a through ball, but Pierre-Michel Lasogga is caught offside.",9,offside hertha berlin andreas ottl try ball pierre michel lasogga catch offside
597,Levan Kobiashvili (Hertha Berlin) wins a free kick in the defensive half.,8,levan kobiashvili hertha berlin win free kick defensive half
598,Foul by Markus Feulner (FC Nurnberg).,3,foul markus feulner fc nurnberg
599,Markus Feulner (FC Nurnberg) is shown the yellow card for a bad foul.,4,markus feulner fc nurnberg show yellow card bad foul
600,Andre Mijatovic (Hertha Berlin) wins a free kick in the defensive half.,8,andre mijatovic hertha berlin win free kick defensive half
601,Foul by Tomas Pekhart (FC Nurnberg).,3,foul tomas pekhart fc nurnberg
602,Foul by Tunay Torun (Hertha Berlin).,3,foul tunay torun hertha berlin
603,Timothy Chandler (FC Nurnberg) wins a free kick on the right wing.,8,timothy chandler fc nurnberg win free kick right wing
604,Attempt saved. Christian Eigler (FC Nurnberg) right footed shot from more than 35 yards is saved in the centre of the goal. Assisted by Javier Pinola with a headed pass.,1,attempt save christian eigler fc nurnberg right foot shot yard save centre goal assist javier pinola head pas
605,Peter Niemeyer (Hertha Berlin) wins a free kick in the defensive half.,8,peter niemeyer hertha berlin win free kick defensive half
606,Foul by Philipp Wollscheid (FC Nurnberg).,3,foul philipp wollscheid fc nurnberg
607,Foul by Andre Mijatovic (Hertha Berlin).,3,foul andre mijatovic hertha berlin
608,Tomas Pekhart (FC Nurnberg) wins a free kick in the attacking half.,8,tomas pekhart fc nurnberg win free kick attack half
609,Attempt blocked. Markus Mendler (FC Nurnberg) left footed shot from the right side of the box is blocked. Assisted by Almog Cohen.,1,attempt block markus mendler fc nurnberg leave foot shot right side box block assisted almog cohen
610,Levan Kobiashvili (Hertha Berlin) wins a free kick in the defensive half.,8,levan kobiashvili hertha berlin win free kick defensive half
611,Foul by Tomas Pekhart (FC Nurnberg).,3,foul tomas pekhart fc nurnberg
612,"Corner,  FC Nurnberg. Conceded by Andre Mijatovic.",2,corner fc nurnberg concede andre mijatovic
613,"Corner,  FC Nurnberg. Conceded by Levan Kobiashvili.",2,corner fc nurnberg concede levan kobiashvili
614,Foul by Pierre-Michel Lasogga (Hertha Berlin).,3,foul pierre michel lasogga hertha berlin
615,Philipp Wollscheid (FC Nurnberg) wins a free kick in the defensive half.,8,philipp wollscheid fc nurnberg win free kick defensive half
616,Pierre-Michel Lasogga (Hertha Berlin) wins a free kick in the defensive half.,8,pierre michel lasogga hertha berlin win free kick defensive half
617,Foul by Timothy Chandler (FC Nurnberg).,3,foul timothy chandler fc nurnberg
618,"Attempt missed. Christian Eigler (FC Nurnberg) right footed shot from outside the box is close, but misses to the left. Assisted by Markus Feulner.",1,attempt miss christian eigler fc nurnberg right foot shot outside box close miss leave assisted markus feulner
619,Pierre-Michel Lasogga (Hertha Berlin) wins a free kick on the left wing.,8,pierre michel lasogga hertha berlin win free kick leave wing
620,Foul by Adrian Ramos (Hertha Berlin).,3,foul adrian ramos hertha berlin
621,Foul by Timothy Chandler (FC Nurnberg).,3,foul timothy chandler fc nurnberg
622,Philipp Wollscheid (FC Nurnberg) wins a free kick in the defensive half.,8,philipp wollscheid fc nurnberg win free kick defensive half
623,Peter Niemeyer (Hertha Berlin) wins a free kick in the defensive half.,8,peter niemeyer hertha berlin win free kick defensive half
624,Hand ball by Markus Mendler (FC Nurnberg).,10,hand ball markus mendler fc nurnberg
625,Foul by Markus Mendler (FC Nurnberg).,3,foul markus mendler fc nurnberg
626,Peter Niemeyer (Hertha Berlin) wins a free kick on the left wing.,8,peter niemeyer hertha berlin win free kick leave wing
627,Foul by Tomas Pekhart (FC Nurnberg).,3,foul tomas pekhart fc nurnberg
628,Foul by Peter Niemeyer (Hertha Berlin).,3,foul peter niemeyer hertha berlin
629,Almog Cohen (FC Nurnberg) wins a free kick in the attacking half.,8,almog cohen fc nurnberg win free kick attack half
630,Foul by Levan Kobiashvili (Hertha Berlin).,3,foul levan kobiashvili hertha berlin
631,Timothy Chandler (FC Nurnberg) wins a free kick in the defensive half.,8,timothy chandler fc nurnberg win free kick defensive half
632,Christian Lell (Hertha Berlin) wins a free kick in the defensive half.,8,christian lell hertha berlin win free kick defensive half
633,Foul by Christian Eigler (FC Nurnberg).,3,foul christian eigler fc nurnberg
634,Timm Klose (FC Nurnberg) wins a free kick in the defensive half.,8,timm klose fc nurnberg win free kick defensive half
635,Foul by Adrian Ramos (Hertha Berlin).,3,foul adrian ramos hertha berlin
636,Philipp Wollscheid (FC Nurnberg) wins a free kick in the defensive half.,8,philipp wollscheid fc nurnberg win free kick defensive half
637,Foul by Andreas Ottl (Hertha Berlin).,3,foul andreas ottl hertha berlin
638,Foul by Peter Niemeyer (Hertha Berlin).,3,foul peter niemeyer hertha berlin
639,Peter Niemeyer (Hertha Berlin) is shown the yellow card.,4,peter niemeyer hertha berlin show yellow card
640,"Substitution, Hertha Berlin. Raffael replaces Tunay Torun.",7,substitution hertha berlin raffael replaces tunay torun
641,Almog Cohen (FC Nurnberg) wins a free kick in the attacking half.,8,almog cohen fc nurnberg win free kick attack half
642,Timothy Chandler (FC Nurnberg) wins a free kick in the defensive half.,8,timothy chandler fc nurnberg win free kick defensive half
643,Foul by Christian Lell (Hertha Berlin).,3,foul christian lell hertha berlin
644,Foul by Levan Kobiashvili (Hertha Berlin).,3,foul levan kobiashvili hertha berlin
645,Tomas Pekhart (FC Nurnberg) wins a free kick on the left wing.,8,tomas pekhart fc nurnberg win free kick leave wing
646,Markus Mendler (FC Nurnberg) wins a free kick on the right wing.,8,markus mendler fc nurnberg win free kick right wing
647,Foul by Patrick Ebert (Hertha Berlin).,3,foul patrick ebert hertha berlin
648,Christian Eigler (FC Nurnberg) wins a free kick on the left wing.,8,christian eigler fc nurnberg win free kick leave wing
649,Attempt blocked. Markus Mendler (FC Nurnberg) left footed shot from outside the box is blocked. Assisted by Tomas Pekhart.,1,attempt block markus mendler fc nurnberg leave foot shot outside box block assisted tomas pekhart
650,Attempt saved. Almog Cohen (FC Nurnberg) header from the centre of the box is saved in the centre of the goal.,1,attempt save almog cohen fc nurnberg header centre box save centre goal
651,Maik Franz (Hertha Berlin) wins a free kick in the defensive half.,8,maik franz hertha berlin win free kick defensive half
652,Foul by Tomas Pekhart (FC Nurnberg).,3,foul tomas pekhart fc nurnberg
653,Foul by Peter Niemeyer (Hertha Berlin).,3,foul peter niemeyer hertha berlin
654,Tomas Pekhart (FC Nurnberg) wins a free kick in the attacking half.,8,tomas pekhart fc nurnberg win free kick attack half
655,Attempt saved. Timmy Simons (FC Nurnberg) header from the centre of the box is saved in the centre of the goal. Assisted by Markus Feulner.,1,attempt save timmy simon fc nurnberg header centre box save centre goal assist markus feulner
656,Timothy Chandler (FC Nurnberg) wins a free kick on the right wing.,8,timothy chandler fc nurnberg win free kick right wing
657,Foul by Levan Kobiashvili (Hertha Berlin).,3,foul levan kobiashvili hertha berlin
658,Levan Kobiashvili (Hertha Berlin) is shown the yellow card.,4,levan kobiashvili hertha berlin show yellow card
659,"Offside, FC Nurnberg. Markus Mendler tries a through ball, but Tomas Pekhart is caught offside.",9,offside fc nurnberg markus mendler try ball tomas pekhart catch offside
660,Markus Mendler (FC Nurnberg) wins a free kick on the right wing.,8,markus mendler fc nurnberg win free kick right wing
661,Attempt saved. Markus Mendler (FC Nurnberg) left footed shot from long range on the right is saved in the bottom right corner.,1,attempt save markus mendler fc nurnberg leave footed shot long range right save bottom right corner
662,Christian Lell (Hertha Berlin) wins a free kick in the defensive half.,8,christian lell hertha berlin win free kick defensive half
663,Foul by Tomas Pekhart (FC Nurnberg).,3,foul tomas pekhart fc nurnberg
664,Attempt saved. Markus Feulner (FC Nurnberg) left footed shot from outside the box is saved in the bottom right corner. Assisted by Timothy Chandler.,1,attempt save markus feulner fc nurnberg leave foot shot outside box save bottom right corner assist timothy chandler
665,Foul by Raffael (Hertha Berlin).,3,foul raffael hertha berlin
666,Philipp Wollscheid (FC Nurnberg) wins a free kick in the defensive half.,8,philipp wollscheid fc nurnberg win free kick defensive half
667,Attempt saved. Tomas Pekhart (FC Nurnberg) header from the centre of the box is saved in the centre of the goal. Assisted by Christian Eigler with a cross.,1,attempt save tomas pekhart fc nurnberg header centre box save centre goal assist christian eigler cross
668,"Offside, Hertha Berlin. Adrian Ramos tries a through ball, but Raffael is caught offside.",9,offside hertha berlin adrian ramos try ball raffael caught offside
669,Peter Niemeyer (Hertha Berlin) wins a free kick in the defensive half.,8,peter niemeyer hertha berlin win free kick defensive half
670,Foul by Markus Feulner (FC Nurnberg).,3,foul markus feulner fc nurnberg
671,Maik Franz (Hertha Berlin) wins a free kick in the defensive half.,8,maik franz hertha berlin win free kick defensive half
672,Foul by Tomas Pekhart (FC Nurnberg).,3,foul tomas pekhart fc nurnberg
673,Adrian Ramos (Hertha Berlin) wins a free kick in the defensive half.,8,adrian ramos hertha berlin win free kick defensive half
674,Foul by Timothy Chandler (FC Nurnberg).,3,foul timothy chandler fc nurnberg
675,Pierre-Michel Lasogga (Hertha Berlin) wins a free kick on the right wing.,8,pierre michel lasogga hertha berlin win free kick right wing
676,Foul by Almog Cohen (FC Nurnberg).,3,foul almog cohen fc nurnberg
677,Almog Cohen (FC Nurnberg) is shown the yellow card for a bad foul.,4,almog cohen fc nurnberg show yellow card bad foul
678,"Corner,  Hertha Berlin. Conceded by Timm Klose.",2,corner hertha berlin concede timm klose
679,Attempt missed. Pierre-Michel Lasogga (Hertha Berlin) right footed shot from the centre of the box is high and wide to the right following a corner.,1,attempt miss pierre michel lasogga hertha berlin right foot shot centre box high wide right follow corner
680,"Offside, FC Nurnberg. Timothy Chandler tries a through ball, but Tomas Pekhart is caught offside.",9,offside fc nurnberg timothy chandler try ball tomas pekhart catch offside
681,"Substitution, FC Nurnberg. Alexander Esswein replaces Christian Eigler.",7,substitution fc nurnberg alexander esswein replace christian eigler
682,"Substitution, Hertha Berlin. Nikita Rukavytsya replaces Patrick Ebert.",7,substitution hertha berlin nikita rukavytsya replaces patrick ebert
683,Attempt missed. Timothy Chandler (FC Nurnberg) left footed shot from outside the box misses to the left.,1,attempt miss timothy chandler fc nurnberg leave foot shot outside box miss leave
684,Foul by Andreas Ottl (Hertha Berlin).,3,foul andreas ottl hertha berlin
685,Almog Cohen (FC Nurnberg) wins a free kick in the attacking half.,8,almog cohen fc nurnberg win free kick attack half
686,"Goal!  Hertha Berlin 0, FC Nurnberg 1. Tomas Pekhart (FC Nurnberg) left footed shot from the centre of the box to the bottom left corner. Assisted by Jens Hegeler.",1,goal hertha berlin fc nurnberg tomas pekhart fc nurnberg leave foot shot centre box bottom leave corner assist jens hegeler
687,"Substitution, FC Nurnberg. Jens Hegeler replaces Markus Feulner.",7,substitution fc nurnberg jens hegeler replaces markus feulner
688,Foul by Pierre-Michel Lasogga (Hertha Berlin).,3,foul pierre michel lasogga hertha berlin
689,Almog Cohen (FC Nurnberg) wins a free kick in the defensive half.,8,almog cohen fc nurnberg win free kick defensive half
690,Pierre-Michel Lasogga (Hertha Berlin) wins a free kick on the right wing.,8,pierre michel lasogga hertha berlin win free kick right wing
691,Foul by Timm Klose (FC Nurnberg).,3,foul timm klose fc nurnberg
692,Foul by Levan Kobiashvili (Hertha Berlin).,3,foul levan kobiashvili hertha berlin
693,Timothy Chandler (FC Nurnberg) wins a free kick on the right wing.,8,timothy chandler fc nurnberg win free kick right wing
694,"Corner,  Hertha Berlin. Conceded by Timothy Chandler.",2,corner hertha berlin concede timothy chandler
695,Attempt missed. Nikita Rukavytsya (Hertha Berlin) left footed shot from outside the box is high and wide to the left following a corner.,1,attempt miss nikita rukavytsya hertha berlin leave foot shot outside box high wide leave following corner
696,Foul by Nikita Rukavytsya (Hertha Berlin).,3,foul nikita rukavytsya hertha berlin
697,Thomas Kraft (Hertha Berlin) wins a free kick in the defensive half.,8,thomas kraft hertha berlin win free kick defensive half
698,Timmy Simons (FC Nurnberg) wins a free kick in the attacking half.,8,timmy simon fc nurnberg win free kick attack half
699,Foul by Tomas Pekhart (FC Nurnberg).,3,foul tomas pekhart fc nurnberg
700,Foul by Alexander Esswein (FC Nurnberg).,3,foul alexander esswein fc nurnberg
701,Alexander Esswein (FC Nurnberg) is shown the yellow card for a bad foul.,4,alexander esswein fc nurnberg show yellow card bad foul
702,Attempt blocked. Levan Kobiashvili (Hertha Berlin) left footed shot from outside the box is blocked.,1,attempt block levan kobiashvili hertha berlin leave foot shot outside box block
703,Foul by Adrian Ramos (Hertha Berlin).,3,foul adrian ramos hertha berlin
704,Maik Franz (Hertha Berlin) wins a free kick in the defensive half.,8,maik franz hertha berlin win free kick defensive half
705,"Substitution, FC Nurnberg. Daniel Didavi replaces Markus Mendler.",7,substitution fc nurnberg daniel didavi replaces markus mendler
706,Jens Hegeler (FC Nurnberg) wins a free kick in the defensive half.,8,jens hegeler fc nurnberg win free kick defensive half
707,Foul by Tomas Pekhart (FC Nurnberg).,3,foul tomas pekhart fc nurnberg
708,Foul by Fabrice Ehret (Evian Thonon Gaillard).,3,foul fabrice ehret evian thonon gaillard
709,Nolan Roux (Brest) wins a free kick on the right wing.,8,nolan roux brest win free kick right wing
710,"Offside, Brest. Ousmane Coulibaly tries a through ball, but Jonathan AyitA© is caught offside.",9,offside brest ousmane coulibaly try ball jonathan ayita catch offside
711,"Offside, Evian Thonon Gaillard. Sidney Govou tries a through ball, but Youssef Adnane is caught offside.",9,offside evian thonon gaillard sidney govou try ball youssef adnane catch offside
712,Foul by Eric TiA© Bi (Evian Thonon Gaillard).,3,foul eric tia bi evian thonon gaillard
713,Nolan Roux (Brest) wins a free kick on the left wing.,8,nolan roux brest win free kick leave wing
714,Benoit Lesoimier (Brest) wins a free kick in the attacking half.,8,benoit lesoimier brest win free kick attack half
715,Attempt missed. Bruno Grougi (Brest) right footed shot from outside the box is too high.,1,attempt miss bruno grougi brest right foot shot outside box high
716,Foul by CA©dric Cambon (Evian Thonon Gaillard).,3,foul cadric cambon evian thonon gaillard
717,Jonathan AyitA© (Brest) wins a free kick in the attacking half.,8,jonathan ayita brest win free kick attack half
718,"Attempt missed. Bruno Grougi (Brest) right footed shot from outside the box is close, but misses to the left. Assisted by Oscar Ewolo from a direct free kick.",1,attempt miss bruno grougi brest right foot shot outside box close miss leave assisted oscar ewolo direct free kick
719,Foul by Johan Martial (Brest).,3,foul johan martial brest
720,Youssef Adnane (Evian Thonon Gaillard) wins a free kick in the defensive half.,8,youssef adnane evian thonon gaillard win free kick defensive half
721,Eric TiA© Bi (Evian Thonon Gaillard) wins a free kick in the defensive half.,8,eric tia bi evian thonon gaillard win free kick defensive half
722,Foul by Jonathan AyitA© (Brest).,3,foul jonathan ayita brest
723,"Corner,  Evian Thonon Gaillard. Conceded by Tripy Makonda.",2,corner evian thonon gaillard concede tripy makonda
724,"Goal!  Brest 0, Evian Thonon Gaillard 1. Olivier Sorlin (Evian Thonon Gaillard) right footed shot from the left side of the box to the top left corner following a corner.",1,goal brest evian thonon gaillard olivier sorlin evian thonon gaillard right foot shot left side box top leave corner follow corner
725,"Corner,  Evian Thonon Gaillard. Conceded by Paul Baysse.",2,corner evian thonon gaillard concede paul baysse
726,Attempt missed. Olivier Sorlin (Evian Thonon Gaillard) right footed shot from outside the box is too high following a corner.,1,attempt miss olivier sorlin evian thonon gaillard right foot shot outside box high following corner
727,Attempt blocked. Youssef Adnane (Evian Thonon Gaillard) right footed shot from the right side of the box is blocked.,1,attempt block youssef adnane evian thonon gaillard right foot shot right side box block
728,"Corner,  Evian Thonon Gaillard. Conceded by Tripy Makonda.",2,corner evian thonon gaillard concede tripy makonda
729,"Goal!  Brest 0, Evian Thonon Gaillard 2. Ali Mmadi (Evian Thonon Gaillard) right footed shot from the right side of the box to the bottom left corner. Assisted by Eric TiA© Bi with a through ball.",1,goal brest evian thonon gaillard ali mmadi evian thonon gaillard right foot shot right side box bottom leave corner assist eric tia bi ball
730,Attempt missed. Jonathan AyitA© (Brest) left footed shot from a difficult angle on the left misses to the left. Assisted by Benoit Lesoimier with a through ball.,1,attempt miss jonathan ayita brest leave foot shot difficult angle leave miss leave assisted benoit lesoimier ball
731,Foul by Tripy Makonda (Brest).,3,foul tripy makonda brest
